"id","estado","estado-slug","municipio","municipio-slug","municipio-poblacion","fecha","c-negativos","c-sospechosos","c-confirmados","c-defunciones","d-negativos","d-sospechosos","d-confirmados","d-defunciones"
"1","Baja California","BC","Mexicali","MXL","988417","2020-04-01","111","38","28","2","0","0","0","0"
"2","Baja California","BC","Tijuana","TJ","1641570","2020-04-01","123","86","15","1","0","0","0","0"
"3","Baja California","BC","Rosarito","ROS","96734","2020-04-01","0","0","0","0","0","0","0","0"
"4","Baja California","BC","Ensenada","ENS","486639","2020-04-01","53","22","0","0","0","0","0","0"
"5","Baja California","BC","Tecate","TEC","102406","2020-04-01","0","0","0","0","0","0","0","0"
"6","Baja California","BC","San Quintin","SQ","0","2020-04-01","0","0","0","0","0","0","0","0"
"7","Baja California","BC","Mexicali","MXL","988417","2020-04-02","115","49","31","2","4","11","3","0"
"8","Baja California","BC","Tijuana","TJ","1641570","2020-04-02","116","90","21","2","-7","4","6","1"
"9","Baja California","BC","Rosarito","ROS","96734","2020-04-02","6","2","0","0","6","2","0","0"
"10","Baja California","BC","Ensenada","ENS","486639","2020-04-02","56","30","0","0","3","8","0","0"
"11","Baja California","BC","Tecate","TEC","102406","2020-04-02","6","2","0","0","6","2","0","0"
"12","Baja California","BC","San Quintin","SQ","0","2020-04-02","7","3","0","0","7","3","0","0"
"13","Baja California","BC","Mexicali","MXL","988417","2020-04-03","124","63","32","2","9","14","1","0"
"14","Baja California","BC","Tijuana","TJ","1641570","2020-04-03","132","88","26","2","16","-2","5","0"
"15","Baja California","BC","Rosarito","ROS","96734","2020-04-03","7","1","0","0","1","-1","0","0"
"16","Baja California","BC","Ensenada","ENS","486639","2020-04-03","60","30","0","0","4","0","0","0"
"17","Baja California","BC","Tecate","TEC","102406","2020-04-03","6","4","0","0","0","2","0","0"
"18","Baja California","BC","San Quintin","SQ","0","2020-04-03","8","2","0","0","1","-1","0","0"
"19","Baja California","BC","Mexicali","MXL","988417","2020-04-04","134","62","36","2","10","-1","4","0"
"20","Baja California","BC","Tijuana","TJ","1641570","2020-04-04","140","103","32","3","8","15","6","1"
"21","Baja California","BC","Rosarito","ROS","96734","2020-04-04","8","0","0","0","1","-1","0","0"
"22","Baja California","BC","Ensenada","ENS","486639","2020-04-04","67","29","1","0","7","-1","1","0"
"23","Baja California","BC","Tecate","TEC","102406","2020-04-04","6","5","0","0","0","1","0","0"
"24","Baja California","BC","San Quintin","SQ","0","2020-04-04","8","3","0","0","0","1","0","0"
"25","Baja California","BC","Mexicali","MXL","988417","2020-04-05","136","57","40","3","2","-5","4","1"
"26","Baja California","BC","Tijuana","TJ","1641570","2020-04-05","151","88","51","4","11","-15","19","1"
"27","Baja California","BC","Rosarito","ROS","96734","2020-04-05","8","0","0","0","0","0","0","0"
"28","Baja California","BC","Ensenada","ENS","486639","2020-04-05","69","27","2","0","2","-2","1","0"
"29","Baja California","BC","Tecate","TEC","102406","2020-04-05","6","5","0","0","0","0","0","0"
"30","Baja California","BC","San Quintin","SQ","0","2020-04-05","10","1","0","0","2","-2","0","0"
"31","Baja California","BC","Mexicali","MXL","988417","2020-04-06","136","53","44","3","0","-4","4","0"
"32","Baja California","BC","Tijuana","TJ","1641570","2020-04-06","159","68","63","6","8","-20","12","2"
"33","Baja California","BC","Rosarito","ROS","96734","2020-04-06","8","0","1","0","0","0","1","0"
"34","Baja California","BC","Ensenada","ENS","486639","2020-04-06","69","27","2","0","0","0","0","0"
"35","Baja California","BC","Tecate","TEC","102406","2020-04-06","6","5","0","0","0","0","0","0"
"36","Baja California","BC","San Quintin","SQ","0","2020-04-06","10","1","0","0","0","0","0","0"
"37","Baja California","BC","Mexicali","MXL","988417","2020-04-07","138","49","62","4","2","-4","18","1"
"38","Baja California","BC","Tijuana","TJ","1641570","2020-04-07","159","68","95","8","0","0","32","2"
"39","Baja California","BC","Rosarito","ROS","96734","2020-04-07","8","0","1","0","0","0","0","0"
"40","Baja California","BC","Ensenada","ENS","486639","2020-04-07","69","27","2","0","0","0","0","0"
"41","Baja California","BC","Tecate","TEC","102406","2020-04-07","6","5","0","0","0","0","0","0"
"42","Baja California","BC","San Quintin","SQ","0","2020-04-07","10","1","0","0","0","0","0","0"
"43","Baja California","BC","Mexicali","MXL","988417","2020-04-08","233","82","84","5","95","33","22","1"
"44","Baja California","BC","Tijuana","TJ","1641570","2020-04-08","304","122","146","8","145","54","51","0"
